createdAt,committedVolume,actualProduction,begInventory,totalStock,soldAmount,unsold,consumerId,producerId
01/01/2016,1000000,1079856,893513,1973369,1338320,635049,2024000100,2024000007
01/02/2016,1000000,983967,635049,1619016,1138320,480696,2024000100,2024000007
01/03/2016,1000000,1079812,480696,1560508,620320,940188,2024000100,2024000007
01/04/2016,1000000,919314,940188,1859502,1105440,754062,2024000100,2024000007
01/05/2016,1000000,1105667,754062,1859729,1409440,450289,2024000100,2024000007
01/06/2016,1000000,1020086,450289,1470375,897600,572775,2024000100,2024000007
01/07/2016,1000000,1103346,572775,1676121,1353880,322241,2024000100,2024000007
01/08/2016,1000000,1006227,322241,1328468,968880,359588,2024000100,2024000007
01/09/2016,1000000,1065462,359588,1425050,822440,602610,2024000100,2024000007
01/10/2016,1000000,1123502,602610,1726112,740920,985192,2024000100,2024000007
01/11/2016,1000000,1093032,985192,2078224,820720,1257504,2024000100,2024000007
01/12/2016,1000000,726551,1257504,1984055,503440,1480615,2024000100,2024000007
01/01/2017,1000000,1213219,1480615,2693834,341600,2352234,2024000100,2024000007
01/02/2017,1000000,794606,2352234,3146840,1643320,1503520,2024000100,2024000007
01/03/2017,1000000,954927,1503520,2458447,240160,2218287,2024000100,2024000007
01/04/2017,1000000,1060684,2218287,3278971,2073800,1205171,2024000100,2024000007
01/05/2017,1000000,1084752,1205171,2289923,1424260,865663,2024000100,2024000007
01/06/2017,1350000,561605,865663,1427268,841845,585423,2024000100,2024000007
01/07/2017,1350000,1181481,585423,1766904,838005,928899,2024000100,2024000007
01/08/2017,1350000,1315385,928899,2244284,545720,1698564,2024000100,2024000007
01/09/2017,1350000,1331371,1698564,3029935,1357240,1672695,2024000100,2024000007
01/10/2017,1350000,1403117,1672695,3075812,1490600,1585212,2024000100,2024000007
01/11/2017,1350000,1126348,1585212,2711560,2310680,400880,2024000100,2024000007
01/12/2017,1350000,1361139,400880,1762019,632320,1129699,2024000100,2024000007
01/01/2018,1350000,1227029,1129699,2356728,1638560,718168,2024000100,2024000007
01/02/2018,1350000,1296375,718168,2014543,853280,1161263,2024000100,2024000007
01/03/2018,1350000,1408717,1161263,2569980,1879000,690980,2024000100,2024000007
01/04/2018,1350000,1355438,690980,2046418,1365120,681298,2024000100,2024000007
01/05/2018,1350000,1306488,681298,1987786,1167160,820626,2024000100,2024000007
01/06/2018,1350000,1306802,820586,2127388,1415680,711708,2024000100,2024000007
01/07/2018,1350000,1338522,711708,2050230,1498520,551710,2024000100,2024000007
01/08/2018,1350000,1385154,551710,1936864,1520760,416104,2024000100,2024000007
01/09/2018,1350000,1362137,416104,1778241,1604960,173281,2024000100,2024000007
01/10/2018,1350000,1405117,173281,1578398,1170960,407438,2024000100,2024000007
01/11/2018,1350000,1310954,407438,1718392,1575160,143232,2024000100,2024000007
01/12/2018,1350000,1248775,143232,1392007,1022080,369927,2024000100,2024000007
01/01/2019,1400000,1370732,369927,1740659,696200,1044459,2024000100,2024000007
01/02/2019,1400000,1356725,1044459,2401184,2221440,179744,2024000100,2024000007
01/03/2019,2200000,1573650,179744,1753394,1625840,127554,2024000100,2024000007
01/04/2019,2200000,1598237,127554,1725791,1558920,166871,2024000100,2024000007
01/05/2019,2200000,1745928,166871,1912799,1045680,867119,2024000100,2024000007
01/06/2019,2200000,1740920,867119,2608039,1583300,1024739,2024000100,2024000007
01/07/2019,2200000,1745193,1024739,2769932,2373720,396212,2024000100,2024000007
01/08/2019,2200000,2139536,396212,2535748,1769000,766748,2024000100,2024000007
01/09/2019,2200000,2032783,766748,2799531,2283000,516531,2024000100,2024000007
01/10/2019,2200000,2079469,516531,2596000,1892620,703380,2024000100,2024000007
01/11/2019,2200000,1799037,703380,2502417,2078000,424417,2024000100,2024000007
01/12/2019,2200000,2264677,424417,2689094,1314000,1375094,2024000100,2024000007
01/01/2020,2200000,2546217,1375094,3921311,2714000,1207311,2024000100,2024000007
01/02/2020,2200000,2007466,1207311,3214777,3135000,79777,2024000100,2024000007
01/03/2020,2200000,2508867,79777,2588644,1903000,685644,2024000100,2024000007
01/04/2020,2400000,1240433,685644,1926077,892000,1034077,2024000100,2024000007
01/05/2020,2400000,1183778,1034077,2217855,738000,1479855,2024000100,2024000007
01/06/2020,2400000,1307189,1479855,2787044,1586440,1200604,2024000100,2024000007
01/07/2020,2400000,2088091,1200604,3288695,2305400,983295,2024000100,2024000007
01/08/2020,2400000,1964625,983295,2947920,1983400,964520,2024000100,2024000007
01/09/2020,2400000,1648665,964520,2613185,1814760,798425,2024000100,2024000007
01/10/2020,2400000,1792278,798425,2590703,1594000,996703,2024000100,2024000007
01/11/2020,2400000,2198694,996703,3195397,1610000,1585397,2024000100,2024000007
01/12/2020,2400000,1539195,1585397,3124592,1618000,1506592,2024000100,2024000007
01/01/2021,1600000,2420030,1506592,3926622,2012000,1914622,2024000100,2024000007
01/02/2021,1600000,1737908,1914622,3652530,2084000,1568530,2024000100,2024000007
01/03/2021,1600000,1791942,1568530,3360472,1868000,1492472,2024000100,2024000007
01/04/2021,1600000,2272550,1492472,3765022,2796000,969022,2024000100,2024000007
01/05/2021,1600000,2647556,969022,3616578,1492000,2124578,2024000100,2024000007
01/06/2021,1600000,1925727,2124578,4050305,1800360,2249945,2024000100,2024000007
01/07/2021,1600000,1740611,2249945,3990556,1979520,2011036,2024000100,2024000007
01/08/2021,1600000,1825763,2011036,3836799,1509000,2327799,2024000100,2024000007
01/09/2021,1600000,1719542,2327799,4047341,2264560,1782781,2024000100,2024000007
01/10/2021,2004935,1671681,1782781,3454462,1710000,1744462,2024000100,2024000007
01/11/2021,2106498,2118889,1744462,3863351,2258640,1604711,2024000100,2024000007
01/12/2021,2144114,1457045,1604711,3061756,2174347,887409,2024000100,2024000007
